operation,pk,n,samples,c2_p50_ns,candidate_p50_ns,p50_ratio,c2_p95_ns,candidate_p95_ns,p95_ratio,cpu_ratio,rss_ratio
update_one,integer,50000,20,13484841,12881964,0.955292,16172456,15417331,0.953308,0.955213,1.003701
update_one,integer,100000,20,26554693,25407019,0.956781,27276759,26086335,0.956358,0.957490,1.009979
update_one,text,1000,20,455187,469848,1.032209,465877,489157,1.049970,1.032967,1.000000
update_one,text,10000,20,3172025,3221914,1.015728,4671916,3329762,0.712719,1.014502,1.000000
update_one,text,50000,20,15142923,15008115,0.991098,15635120,15327361,0.980316,0.991019,1.000000
update_one,text,100000,20,28602703,28652262,1.001733,29944567,32169064,1.074287,1.001783,1.000000
update_one,uuid,1000,20,389219,404258,1.038639,400028,441308,1.103193,1.038560,1.000000
update_one,uuid,10000,20,2647077,2688096,1.015496,3420323,3709191,1.084456,1.015106,1.002394
update_one,uuid,50000,20,12380006,12403487,1.001897,13125833,12685395,0.966445,1.002424,1.003621
update_one,uuid,100000,20,24763882,24863641,1.004028,29169239,26244175,0.899721,1.004241,1.003426
# OLTP_P50_GEOMEAN_RATIO=1.012937170
# VCS_P50_GEOMEAN_RATIO=0.707859630
