version,backend,operation,geometry,pk,n,d,page_target,tuple_width,height,objects,object_bytes,wall_ns,cpu_ns,rss_kb,calls,read_objects,read_bytes,writes,write_bytes,settled_bytes,shared_objects,diff_nodes,result_digest,timing_scope,cold_reopen,status
exp-art-01-v1,rocksdb,persist,crit_bit,uuid,1000,0,4096,256,12,1999,376033,2044579,2044000,30168,2,0,0,2000,376108,0,0,0,3c0cff0a3fd8f2219dcae43524dd343a21cdc9715680af962a9b56b37f32fcbd,authenticated_operation,false,ok
exp-art-01-v1,rocksdb,cold_reopen,crit_bit,uuid,1000,0,4096,256,12,1999,376033,6529357,6568000,30168,2,2000,376108,0,0,528096,0,0,3c0cff0a3fd8f2219dcae43524dd343a21cdc9715680af962a9b56b37f32fcbd,authenticated_operation,true,ok
exp-art-01-v1,slatedb,persist,crit_bit,uuid,1000,0,4096,256,12,1999,376033,14065259,20765000,30168,2,0,0,2000,376108,0,0,0,3c0cff0a3fd8f2219dcae43524dd343a21cdc9715680af962a9b56b37f32fcbd,authenticated_operation,false,ok
exp-art-01-v1,slatedb,cold_reopen,crit_bit,uuid,1000,0,4096,256,12,1999,376033,29390361,34335000,31364,2,2000,376108,0,0,579091,0,0,3c0cff0a3fd8f2219dcae43524dd343a21cdc9715680af962a9b56b37f32fcbd,authenticated_operation,true,ok
exp-art-01-v1,model,build,c2_slotted,text,1000,0,4096,256,3,102,97616,1660842,1661000,31364,0,0,0,102,97616,0,0,0,37cede6a44616bf5a36edff0d9939cd57aac3e68a3f03bec9c72fbf5f8f2272f,authenticated_operation,false,ok
exp-art-01-v1,model,corruption_controls,c2_slotted,text,1000,9,4096,256,3,102,97616,0,0,31364,0,0,0,0,0,0,0,0,37cede6a44616bf5a36edff0d9939cd57aac3e68a3f03bec9c72fbf5f8f2272f,authenticated_operation,false,rejected
exp-art-01-v1,rocksdb,persist,c2_slotted,text,1000,0,4096,256,3,102,97616,220958,220000,31492,1,0,0,103,97691,0,0,0,37cede6a44616bf5a36edff0d9939cd57aac3e68a3f03bec9c72fbf5f8f2272f,authenticated_operation,false,ok
exp-art-01-v1,rocksdb,cold_reopen,c2_slotted,text,1000,0,4096,256,3,102,97616,974305,1008000,31492,1,103,97691,0,0,161814,0,0,37cede6a44616bf5a36edff0d9939cd57aac3e68a3f03bec9c72fbf5f8f2272f,authenticated_operation,true,ok
exp-art-01-v1,slatedb,persist,c2_slotted,text,1000,0,4096,256,3,102,97616,1726202,2707000,31608,1,0,0,103,97691,0,0,0,37cede6a44616bf5a36edff0d9939cd57aac3e68a3f03bec9c72fbf5f8f2272f,authenticated_operation,false,ok
exp-art-01-v1,slatedb,cold_reopen,c2_slotted,text,1000,0,4096,256,3,102,97616,4682556,11461000,31736,1,103,97691,0,0,110493,0,0,37cede6a44616bf5a36edff0d9939cd57aac3e68a3f03bec9c72fbf5f8f2272f,authenticated_operation,true,ok
exp-art-01-v1,model,build,crit_bit,text,1000,0,4096,256,13,1999,340064,33993248,33994000,31736,0,0,0,1999,340064,0,0,0,37cede6a44616bf5a36edff0d9939cd57aac3e68a3f03bec9c72fbf5f8f2272f,authenticated_operation,false,ok
exp-art-01-v1,model,corruption_controls,crit_bit,text,1000,9,4096,256,13,1999,340064,0,0,31736,0,0,0,0,0,0,0,0,37cede6a44616bf5a36edff0d9939cd57aac3e68a3f03bec9c72fbf5f8f2272f,authenticated_operation,false,rejected
exp-art-01-v1,rocksdb,persist,crit_bit,text,1000,0,4096,256,13,1999,340064,1992719,1992000,33016,2,0,0,2000,340139,0,0,0,37cede6a44616bf5a36edff0d9939cd57aac3e68a3f03bec9c72fbf5f8f2272f,authenticated_operation,false,ok
exp-art-01-v1,rocksdb,cold_reopen,crit_bit,text,1000,0,4096,256,13,1999,340064,7049255,7050000,33016,2,2000,340139,0,0,491738,0,0,37cede6a44616bf5a36edff0d9939cd57aac3e68a3f03bec9c72fbf5f8f2272f,authenticated_operation,true,ok
exp-art-01-v1,slatedb,persist,crit_bit,text,1000,0,4096,256,13,1999,340064,13201503,18297000,33016,2,0,0,2000,340139,0,0,0,37cede6a44616bf5a36edff0d9939cd57aac3e68a3f03bec9c72fbf5f8f2272f,authenticated_operation,false,ok
exp-art-01-v1,slatedb,cold_reopen,crit_bit,text,1000,0,4096,256,13,1999,340064,26892544,29498000,33768,2,2000,340139,0,0,543404,0,0,37cede6a44616bf5a36edff0d9939cd57aac3e68a3f03bec9c72fbf5f8f2272f,authenticated_operation,true,ok
exp-art-01-v1,model,build,c2_slotted,composite,1000,0,4096,256,3,104,117006,1764342,1765000,33768,0,0,0,104,117006,0,0,0,b5cd35cd2f295619a9240a978c00107fd4db4745121496472312f295b82bc20c,authenticated_operation,false,ok
exp-art-01-v1,model,corruption_controls,c2_slotted,composite,1000,9,4096,256,3,104,117006,0,0,33768,0,0,0,0,0,0,0,0,b5cd35cd2f295619a9240a978c00107fd4db4745121496472312f295b82bc20c,authenticated_operation,false,rejected
exp-art-01-v1,rocksdb,persist,c2_slotted,composite,1000,0,4096,256,3,104,117006,206388,206000,33768,1,0,0,105,117081,0,0,0,b5cd35cd2f295619a9240a978c00107fd4db4745121496472312f295b82bc20c,authenticated_operation,false,ok
exp-art-01-v1,rocksdb,cold_reopen,c2_slotted,composite,1000,0,4096,256,3,104,117006,996825,997000,33768,1,105,117081,0,0,181366,0,0,b5cd35cd2f295619a9240a978c00107fd4db4745121496472312f295b82bc20c,authenticated_operation,true,ok
exp-art-01-v1,slatedb,persist,c2_slotted,composite,1000,0,4096,256,3,104,117006,1158094,1367000,33768,1,0,0,105,117081,0,0,0,b5cd35cd2f295619a9240a978c00107fd4db4745121496472312f295b82bc20c,authenticated_operation,false,ok
exp-art-01-v1,slatedb,cold_reopen,c2_slotted,composite,1000,0,4096,256,3,104,117006,2122149,6216000,34024,1,105,117081,0,0,130058,0,0,b5cd35cd2f295619a9240a978c00107fd4db4745121496472312f295b82bc20c,authenticated_operation,true,ok
exp-art-01-v1,model,build,crit_bit,composite,1000,0,4096,256,13,1999,423215,15217724,15218000,34024,0,0,0,1999,423215,0,0,0,b5cd35cd2f295619a9240a978c00107fd4db4745121496472312f295b82bc20c,authenticated_operation,false,ok
exp-art-01-v1,model,corruption_controls,crit_bit,composite,1000,9,4096,256,13,1999,423215,0,0,34024,0,0,0,0,0,0,0,0,b5cd35cd2f295619a9240a978c00107fd4db4745121496472312f295b82bc20c,authenticated_operation,false,rejected
exp-art-01-v1,rocksdb,persist,crit_bit,composite,1000,0,4096,256,13,1999,423215,2198799,2199000,35560,2,0,0,2000,423290,0,0,0,b5cd35cd2f295619a9240a978c00107fd4db4745121496472312f295b82bc20c,authenticated_operation,false,ok
exp-art-01-v1,rocksdb,cold_reopen,crit_bit,composite,1000,0,4096,256,13,1999,423215,7411693,7412000,35560,2,2000,423290,0,0,574712,0,0,b5cd35cd2f295619a9240a978c00107fd4db4745121496472312f295b82bc20c,authenticated_operation,true,ok
exp-art-01-v1,slatedb,persist,crit_bit,composite,1000,0,4096,256,13,1999,423215,13483762,20096000,35560,2,0,0,2000,423290,0,0,0,b5cd35cd2f295619a9240a978c00107fd4db4745121496472312f295b82bc20c,authenticated_operation,false,ok
exp-art-01-v1,slatedb,cold_reopen,crit_bit,composite,1000,0,4096,256,13,1999,423215,26507857,29182000,35676,2,2000,423290,0,0,626542,0,0,b5cd35cd2f295619a9240a978c00107fd4db4745121496472312f295b82bc20c,authenticated_operation,true,ok
