version,backend,operation,geometry,pk,n,d,page_target,block_size,tuple_width,height,objects,object_bytes,wall_ns,cpu_ns,rss_kb,calls,read_objects,read_bytes,writes,write_bytes,settled_bytes,shared_objects,diff_nodes,result_digest,timing_scope,cold_reopen,status
exp-subrange-merkle-12-v1,model,build,c2_subrange_merkle,uuid,1000,0,65536,16,256,2,8,89813,1648632,1650000,23876,0,0,0,8,89813,0,0,0,3c0cff0a3fd8f2219dcae43524dd343a21cdc9715680af962a9b56b37f32fcbd,authenticated_operation,false,ok
exp-subrange-merkle-12-v1,model,corruption_controls,c2_subrange_merkle,uuid,1000,15,65536,16,256,2,8,89813,0,0,23876,0,0,0,0,0,0,0,0,3c0cff0a3fd8f2219dcae43524dd343a21cdc9715680af962a9b56b37f32fcbd,authenticated_operation,false,rejected
exp-subrange-merkle-12-v1,rocksdb,persist,c2_subrange_merkle,uuid,1000,0,65536,16,256,2,8,89813,197588,196000,23876,1,0,0,9,89888,0,0,0,3c0cff0a3fd8f2219dcae43524dd343a21cdc9715680af962a9b56b37f32fcbd,authenticated_operation,false,ok
exp-subrange-merkle-12-v1,rocksdb,cold_reopen,c2_subrange_merkle,uuid,1000,0,65536,16,256,2,8,89813,1149484,1149000,23876,1,9,89888,0,0,149174,0,0,3c0cff0a3fd8f2219dcae43524dd343a21cdc9715680af962a9b56b37f32fcbd,authenticated_operation,true,ok
exp-subrange-merkle-12-v1,slatedb,persist,c2_subrange_merkle,uuid,1000,0,65536,16,256,2,8,89813,685317,894000,24000,1,0,0,9,89888,0,0,0,3c0cff0a3fd8f2219dcae43524dd343a21cdc9715680af962a9b56b37f32fcbd,authenticated_operation,false,ok
exp-subrange-merkle-12-v1,slatedb,cold_reopen,c2_subrange_merkle,uuid,1000,0,65536,16,256,2,8,89813,1261014,4167000,24256,1,9,89888,0,0,93215,0,0,3c0cff0a3fd8f2219dcae43524dd343a21cdc9715680af962a9b56b37f32fcbd,authenticated_operation,true,ok
exp-subrange-merkle-12-v1,model,build,c2_slotted,text,1000,0,65536,0,256,2,7,72432,673807,674000,24256,0,0,0,7,72432,0,0,0,37cede6a44616bf5a36edff0d9939cd57aac3e68a3f03bec9c72fbf5f8f2272f,authenticated_operation,false,ok
exp-subrange-merkle-12-v1,model,corruption_controls,c2_slotted,text,1000,9,65536,0,256,2,7,72432,0,0,24256,0,0,0,0,0,0,0,0,37cede6a44616bf5a36edff0d9939cd57aac3e68a3f03bec9c72fbf5f8f2272f,authenticated_operation,false,rejected
exp-subrange-merkle-12-v1,rocksdb,persist,c2_slotted,text,1000,0,65536,0,256,2,7,72432,121310,120000,24256,1,0,0,8,72507,0,0,0,37cede6a44616bf5a36edff0d9939cd57aac3e68a3f03bec9c72fbf5f8f2272f,authenticated_operation,false,ok
exp-subrange-merkle-12-v1,rocksdb,cold_reopen,c2_slotted,text,1000,0,65536,0,256,2,7,72432,523617,523000,24256,1,8,72507,0,0,131715,0,0,37cede6a44616bf5a36edff0d9939cd57aac3e68a3f03bec9c72fbf5f8f2272f,authenticated_operation,true,ok
exp-subrange-merkle-12-v1,slatedb,persist,c2_slotted,text,1000,0,65536,0,256,2,7,72432,491277,630000,24508,1,0,0,8,72507,0,0,0,37cede6a44616bf5a36edff0d9939cd57aac3e68a3f03bec9c72fbf5f8f2272f,authenticated_operation,false,ok
exp-subrange-merkle-12-v1,slatedb,cold_reopen,c2_slotted,text,1000,0,65536,0,256,2,7,72432,755107,764000,24764,1,8,72507,0,0,75740,0,0,37cede6a44616bf5a36edff0d9939cd57aac3e68a3f03bec9c72fbf5f8f2272f,authenticated_operation,true,ok
exp-subrange-merkle-12-v1,model,build,c2_subrange_merkle,text,1000,0,65536,16,256,2,7,74496,1230004,1229000,24892,0,0,0,7,74496,0,0,0,37cede6a44616bf5a36edff0d9939cd57aac3e68a3f03bec9c72fbf5f8f2272f,authenticated_operation,false,ok
exp-subrange-merkle-12-v1,model,corruption_controls,c2_subrange_merkle,text,1000,15,65536,16,256,2,7,74496,0,0,24892,0,0,0,0,0,0,0,0,37cede6a44616bf5a36edff0d9939cd57aac3e68a3f03bec9c72fbf5f8f2272f,authenticated_operation,false,rejected
exp-subrange-merkle-12-v1,rocksdb,persist,c2_subrange_merkle,text,1000,0,65536,16,256,2,7,74496,113659,112000,24892,1,0,0,8,74571,0,0,0,37cede6a44616bf5a36edff0d9939cd57aac3e68a3f03bec9c72fbf5f8f2272f,authenticated_operation,false,ok
exp-subrange-merkle-12-v1,rocksdb,cold_reopen,c2_subrange_merkle,text,1000,0,65536,16,256,2,7,74496,1039104,1038000,24892,1,8,74571,0,0,133812,0,0,37cede6a44616bf5a36edff0d9939cd57aac3e68a3f03bec9c72fbf5f8f2272f,authenticated_operation,true,ok
exp-subrange-merkle-12-v1,slatedb,persist,c2_subrange_merkle,text,1000,0,65536,16,256,2,7,74496,511857,733000,24892,1,0,0,8,74571,0,0,0,37cede6a44616bf5a36edff0d9939cd57aac3e68a3f03bec9c72fbf5f8f2272f,authenticated_operation,false,ok
exp-subrange-merkle-12-v1,slatedb,cold_reopen,c2_subrange_merkle,text,1000,0,65536,16,256,2,7,74496,1282813,1598000,24892,1,8,74571,0,0,77796,0,0,37cede6a44616bf5a36edff0d9939cd57aac3e68a3f03bec9c72fbf5f8f2272f,authenticated_operation,true,ok
exp-subrange-merkle-12-v1,model,build,c2_slotted,composite,1000,0,65536,0,256,2,7,87982,759866,760000,24892,0,0,0,7,87982,0,0,0,b5cd35cd2f295619a9240a978c00107fd4db4745121496472312f295b82bc20c,authenticated_operation,false,ok
exp-subrange-merkle-12-v1,model,corruption_controls,c2_slotted,composite,1000,9,65536,0,256,2,7,87982,0,0,24892,0,0,0,0,0,0,0,0,b5cd35cd2f295619a9240a978c00107fd4db4745121496472312f295b82bc20c,authenticated_operation,false,rejected
exp-subrange-merkle-12-v1,rocksdb,persist,c2_slotted,composite,1000,0,65536,0,256,2,7,87982,162020,161000,24892,1,0,0,8,88057,0,0,0,b5cd35cd2f295619a9240a978c00107fd4db4745121496472312f295b82bc20c,authenticated_operation,false,ok
exp-subrange-merkle-12-v1,rocksdb,cold_reopen,c2_slotted,composite,1000,0,65536,0,256,2,7,87982,522987,524000,24892,1,8,88057,0,0,147304,0,0,b5cd35cd2f295619a9240a978c00107fd4db4745121496472312f295b82bc20c,authenticated_operation,true,ok
exp-subrange-merkle-12-v1,slatedb,persist,c2_slotted,composite,1000,0,65536,0,256,2,7,87982,637358,856000,25016,1,0,0,8,88057,0,0,0,b5cd35cd2f295619a9240a978c00107fd4db4745121496472312f295b82bc20c,authenticated_operation,false,ok
exp-subrange-merkle-12-v1,slatedb,cold_reopen,c2_slotted,composite,1000,0,65536,0,256,2,7,87982,809836,3511000,25144,1,8,88057,0,0,91278,0,0,b5cd35cd2f295619a9240a978c00107fd4db4745121496472312f295b82bc20c,authenticated_operation,true,ok
exp-subrange-merkle-12-v1,model,build,c2_subrange_merkle,composite,1000,0,65536,16,256,2,7,90313,2645397,2645000,25144,0,0,0,7,90313,0,0,0,b5cd35cd2f295619a9240a978c00107fd4db4745121496472312f295b82bc20c,authenticated_operation,false,ok
exp-subrange-merkle-12-v1,model,corruption_controls,c2_subrange_merkle,composite,1000,15,65536,16,256,2,7,90313,0,0,25144,0,0,0,0,0,0,0,0,b5cd35cd2f295619a9240a978c00107fd4db4745121496472312f295b82bc20c,authenticated_operation,false,rejected
exp-subrange-merkle-12-v1,rocksdb,persist,c2_subrange_merkle,composite,1000,0,65536,16,256,2,7,90313,135769,136000,25272,1,0,0,8,90388,0,0,0,b5cd35cd2f295619a9240a978c00107fd4db4745121496472312f295b82bc20c,authenticated_operation,false,ok
exp-subrange-merkle-12-v1,rocksdb,cold_reopen,c2_subrange_merkle,composite,1000,0,65536,16,256,2,7,90313,1059754,1058000,25272,1,8,90388,0,0,149603,0,0,b5cd35cd2f295619a9240a978c00107fd4db4745121496472312f295b82bc20c,authenticated_operation,true,ok
exp-subrange-merkle-12-v1,slatedb,persist,c2_subrange_merkle,composite,1000,0,65536,16,256,2,7,90313,668976,2336000,25384,1,0,0,8,90388,0,0,0,b5cd35cd2f295619a9240a978c00107fd4db4745121496472312f295b82bc20c,authenticated_operation,false,ok
exp-subrange-merkle-12-v1,slatedb,cold_reopen,c2_subrange_merkle,composite,1000,0,65536,16,256,2,7,90313,1291994,1404000,25384,1,8,90388,0,0,93611,0,0,b5cd35cd2f295619a9240a978c00107fd4db4745121496472312f295b82bc20c,authenticated_operation,true,ok
