backend,operation,pk,n,geometry,samples,wall_p50_ns,wall_p95_ns,cpu_p50_ns,cpu_p95_ns,rss_max_kb,read_objects_p50,read_bytes_p50,writes_p50,write_bytes_p50,object_bytes_p50,settled_bytes_p50
model,build,uuid,1000,c2_slotted,1,4899876,4899876,4898000,4898000,13868,0,0,97,112220,112220,0
model,build,uuid,1000,crit_bit,1,34910093,34910093,34909000,34909000,14888,0,0,1999,376033,376033,0
model,build,uuid,10000,c2_slotted,1,20370779,20370779,20350000,20350000,21836,0,0,938,1113180,1113180,0
model,build,uuid,10000,crit_bit,1,160766286,160766286,160743000,160743000,31124,0,0,19999,3760753,3760753,0
model,build,uuid,50000,c2_slotted,1,97741839,97741839,97731000,97731000,54796,0,0,4661,5547342,5547342,0
model,build,uuid,50000,crit_bit,1,763562337,763562337,763421000,763421000,102028,0,0,99999,18786825,18786825,0
model,build,uuid,100000,c2_slotted,1,194385483,194385483,194347000,194347000,96432,0,0,9350,11101162,11101162,0
model,build,uuid,100000,crit_bit,1,1543457570,1543457570,1543274000,1543274000,192076,0,0,199999,37549580,37549580,0
model,full_scan,composite,1000,c2_slotted,20,818496,842896,819000,844000,17468,104,117006,0,0,117006,0
model,full_scan,composite,1000,crit_bit,20,4785026,4912955,4785000,4915000,19904,1999,423215,0,0,423215,0
model,full_scan,composite,10000,c2_slotted,20,8317069,8967504,8318000,8969000,52152,987,1145868,0,0,1145868,0
model,full_scan,composite,10000,crit_bit,20,51592289,56553314,51595000,56537000,79324,19999,4233699,0,0,4233699,0
model,full_scan,composite,50000,c2_slotted,20,42777226,45632170,42780000,45597000,205644,4955,5734258,0,0,5734258,0
model,full_scan,composite,100000,c2_slotted,20,88496665,101626738,88459000,101613000,393272,9886,11468707,0,0,11468707,0
model,full_scan,integer,1000,c2_slotted,20,714515,749466,714000,750000,17380,91,94541,0,0,94541,0
model,full_scan,integer,1000,crit_bit,20,4617816,4771006,4618000,4772000,19688,1999,326138,0,0,326138,0
model,full_scan,integer,10000,c2_slotted,20,7261934,7521182,7263000,7523000,49424,883,942143,0,0,942143,0
model,full_scan,integer,10000,crit_bit,20,49565051,52488626,49569000,52491000,75108,19999,3268216,0,0,3268216,0
model,full_scan,integer,50000,c2_slotted,20,37672212,41704221,37675000,41681000,190588,4382,4704661,0,0,4704661,0
model,full_scan,integer,50000,crit_bit,20,262904767,279659633,262842000,279629000,320908,99999,16344388,0,0,16344388,0
model,full_scan,integer,100000,c2_slotted,20,74731225,79357821,74721000,79342000,367028,8763,9415333,0,0,9415333,0
model,full_scan,integer,100000,crit_bit,20,551909774,568765329,551791000,568620000,628392,199999,32858949,0,0,32858949,0
model,full_scan,text,1000,c2_slotted,20,777447,790405,778000,791000,17256,102,97616,0,0,97616,0
model,full_scan,text,1000,crit_bit,20,4665717,4967694,4666000,4968000,19772,1999,340064,0,0,340064,0
model,full_scan,text,10000,c2_slotted,20,8003050,8797035,8004000,8798000,49976,972,970785,0,0,970785,0
model,full_scan,text,10000,crit_bit,20,49118262,50926103,49101000,50900000,75708,19999,3422337,0,0,3422337,0
model,full_scan,text,50000,c2_slotted,20,42096168,48228058,42079000,48213000,194964,4865,4852645,0,0,4852645,0
model,full_scan,text,50000,crit_bit,20,264374612,275554506,264363000,275512000,325220,99999,17202615,0,0,17202615,0
model,full_scan,text,100000,c2_slotted,20,83517280,86746173,83501000,86730000,371520,9719,9702123,0,0,9702123,0
model,full_scan,text,100000,crit_bit,20,561549079,578981951,561456000,578839000,636440,199999,34427666,0,0,34427666,0
model,full_scan,uuid,1000,c2_slotted,20,793277,951506,793000,953000,16940,97,112220,0,0,112220,0
model,full_scan,uuid,1000,crit_bit,20,4076569,4243478,4077000,4243000,19624,1999,376033,0,0,376033,0
model,full_scan,uuid,10000,c2_slotted,20,7730000,7921910,7732000,7922000,49692,938,1113180,0,0,1113180,0
model,full_scan,uuid,10000,crit_bit,20,44052727,48409995,44054000,48374000,76668,19999,3760753,0,0,3760753,0
model,full_scan,uuid,50000,c2_slotted,20,38840375,39845759,38826000,39830000,193076,4661,5547342,0,0,5547342,0
model,full_scan,uuid,50000,crit_bit,20,244241834,265160678,244206000,265098000,329648,99999,18786825,0,0,18786825,0
model,full_scan,uuid,100000,c2_slotted,20,78858713,83714219,78763000,83699000,373004,9350,11101162,0,0,11101162,0
model,full_scan,uuid,100000,crit_bit,20,505397132,579445738,505269000,579320000,646628,199999,37549580,0,0,37549580,0
model,hash_diff_1,composite,1000,c2_slotted,20,800646,897266,800000,897000,17468,94,112086,0,0,117006,0
model,hash_diff_1,composite,1000,crit_bit,20,229349,251119,228000,250000,19904,74,16258,0,0,423215,0
model,hash_diff_1,composite,10000,c2_slotted,20,1076394,1179175,1075000,1177000,52152,112,156148,0,0,1145868,0
model,hash_diff_1,composite,10000,crit_bit,20,331119,373778,329000,370000,79324,92,20270,0,0,4233699,0
model,hash_diff_1,composite,50000,c2_slotted,20,1520482,1790730,1519000,1788000,205644,144,189698,0,0,5734258,0
model,hash_diff_1,composite,100000,c2_slotted,20,1661502,1768521,1660000,1767000,393272,134,191190,0,0,11468707,0
model,hash_diff_1,integer,1000,c2_slotted,20,881435,891146,881000,891000,17380,112,118620,0,0,94541,0
model,hash_diff_1,integer,1000,crit_bit,20,185869,228069,185000,227000,19688,62,8734,0,0,326138,0
model,hash_diff_1,integer,10000,c2_slotted,20,1305444,1346024,1305000,1344000,49424,148,182692,0,0,942143,0
model,hash_diff_1,integer,10000,crit_bit,20,286649,334447,285000,332000,75108,86,12036,0,0,3268216,0
model,hash_diff_1,integer,50000,c2_slotted,20,1813370,1849151,1812000,1846000,190588,172,240128,0,0,4704661,0
model,hash_diff_1,integer,50000,crit_bit,20,394188,430488,391000,429000,320908,98,13750,0,0,16344388,0
model,hash_diff_1,integer,100000,c2_slotted,20,2026389,2262899,2025000,2262000,367028,186,252964,0,0,9415333,0
model,hash_diff_1,integer,100000,crit_bit,20,445107,461298,443000,458000,628392,104,14600,0,0,32858949,0
model,hash_diff_1,text,1000,c2_slotted,20,584937,602176,585000,601000,17256,76,72930,0,0,97616,0
model,hash_diff_1,text,1000,crit_bit,20,205410,254109,205000,254000,19772,74,10962,0,0,340064,0
model,hash_diff_1,text,10000,c2_slotted,20,1102634,1257904,1102000,1257000,49976,120,141092,0,0,970785,0
model,hash_diff_1,text,10000,crit_bit,20,327189,372138,325000,370000,75708,98,14480,0,0,3422337,0
model,hash_diff_1,text,50000,c2_slotted,20,2170349,2543547,2168000,2542000,194964,160,197140,0,0,4852645,0
model,hash_diff_1,text,50000,crit_bit,20,472018,489018,470000,487000,325220,116,17352,0,0,17202615,0
model,hash_diff_1,text,100000,c2_slotted,20,2789026,3050415,2788000,3049000,371520,180,223828,0,0,9702123,0
model,hash_diff_1,text,100000,crit_bit,20,423638,444809,422000,442000,636440,98,14730,0,0,34427666,0
model,hash_diff_1,uuid,1000,c2_slotted,20,839906,1068435,839000,1068000,16940,94,118564,0,0,112220,0
